"";"Region";"aldersgruppe";"value"
"498";"1576";"16-24";335
"499";"1576";"25-34";329
"500";"1576";"35-44";381
"501";"1576";"45-54";446
"502";"1576";"55-64";508
"503";"1576";"65-74";467
"504";"1576";"75 og eldre";441
"505";"1577";"0-15";1956
"506";"1577";"16-24";1600
"507";"1577";"25-34";1463
"508";"1577";"35-44";1308
"509";"1577";"45-54";1267
"510";"1577";"55-64";1239
"511";"1577";"65-74";1154
"512";"1577";"75 og eldre";1106
"513";"1578";"0-15";370
"514";"1578";"16-24";290
"515";"1578";"25-34";206
"516";"1578";"35-44";257
"517";"1578";"45-54";300
"518";"1578";"55-64";389
"519";"1578";"65-74";338
"520";"1578";"75 og eldre";342
"521";"1579";"0-15";2484
"522";"1579";"16-24";1506
"523";"1579";"25-34";1528
"524";"1579";"35-44";1725
"525";"1579";"45-54";1709
"526";"1579";"55-64";1674
"527";"1579";"65-74";1534
"528";"1579";"75 og eldre";1277
"529";"1580";"0-15";1686
"530";"1580";"16-24";963
"531";"1580";"25-34";976
"532";"1580";"35-44";1180
"533";"1580";"45-54";1252
"534";"1580";"55-64";1179
"535";"1580";"65-74";1128
"536";"1580";"75 og eldre";993
"537";"1804";"0-15";9371
"538";"1804";"16-24";6026
"539";"1804";"25-34";8014
"540";"1804";"35-44";7171
"541";"1804";"45-54";6934
"542";"1804";"55-64";6625
"543";"1804";"65-74";5168
"544";"1804";"75 og eldre";4403
"545";"1806";"0-15";3443
"546";"1806";"16-24";2140
"547";"1806";"25-34";2779
"548";"1806";"35-44";2558
"549";"1806";"45-54";2554
"550";"1806";"55-64";3051
"551";"1806";"65-74";2723
"552";"1806";"75 og eldre";2332
"553";"1811";"0-15";229
"554";"1811";"16-24";123
"555";"1811";"25-34";110
"556";"1811";"35-44";124
"557";"1811";"45-54";159
"558";"1811";"55-64";204
"559";"1811";"65-74";233
"560";"1811";"75 og eldre";217
"561";"1812";"0-15";308
"562";"1812";"16-24";222
"563";"1812";"25-34";203
"564";"1812";"35-44";211
"565";"1812";"45-54";246
"566";"1812";"55-64";310
"567";"1812";"65-74";241
"568";"1812";"75 og eldre";235
"569";"1813";"0-15";1374
"570";"1813";"16-24";800
"571";"1813";"25-34";905
"572";"1813";"35-44";935
"573";"1813";"45-54";1037
"574";"1813";"55-64";1110
"575";"1813";"65-74";897
"576";"1813";"75 og eldre";768
"577";"1815";"0-15";176
"578";"1815";"16-24";116
"579";"1815";"25-34";106
"580";"1815";"35-44";112
"581";"1815";"45-54";163
"582";"1815";"55-64";199
"583";"1815";"65-74";168
"584";"1815";"75 og eldre";168
"585";"1816";"0-15";86
"586";"1816";"16-24";38
"587";"1816";"25-34";44
"588";"1816";"35-44";47
"589";"1816";"45-54";54
"590";"1816";"55-64";64
"591";"1816";"65-74";71
"592";"1816";"75 og eldre";76
"593";"1818";"0-15";315
"594";"1818";"16-24";147
"595";"1818";"25-34";206
"596";"1818";"35-44";261
"597";"1818";"45-54";190
"598";"1818";"55-64";288
"599";"1818";"65-74";228
"600";"1818";"75 og eldre";207
"601";"1820";"0-15";1235
"602";"1820";"16-24";745
"603";"1820";"25-34";896
"604";"1820";"35-44";895
"605";"1820";"45-54";929
"606";"1820";"55-64";1024
"607";"1820";"65-74";899
"608";"1820";"75 og eldre";798
"609";"1822";"0-15";491
"610";"1822";"16-24";177
"611";"1822";"25-34";248
"612";"1822";"35-44";304
"613";"1822";"45-54";266
"614";"1822";"55-64";333
"615";"1822";"65-74";310
"616";"1822";"75 og eldre";223
"617";"1824";"0-15";2207
"618";"1824";"16-24";1377
"619";"1824";"25-34";1710
"620";"1824";"35-44";1541
"621";"1824";"45-54";1677
"622";"1824";"55-64";1920
"623";"1824";"65-74";1532
"624";"1824";"75 og eldre";1505
"625";"1825";"0-15";211
"626";"1825";"16-24";152
"627";"1825";"25-34";146
"628";"1825";"35-44";144
"629";"1825";"45-54";176
"630";"1825";"55-64";222
"631";"1825";"65-74";180
"632";"1825";"75 og eldre";216
"633";"1826";"0-15";185
"634";"1826";"16-24";132
"635";"1826";"25-34";121
"636";"1826";"35-44";114
"637";"1826";"45-54";168
"638";"1826";"55-64";191
"639";"1826";"65-74";163
"640";"1826";"75 og eldre";210
"641";"1827";"0-15";212
"642";"1827";"16-24";159
"643";"1827";"25-34";140
"644";"1827";"35-44";136
"645";"1827";"45-54";185
"646";"1827";"55-64";205
"647";"1827";"65-74";218
"648";"1827";"75 og eldre";172
"649";"1828";"0-15";288
"650";"1828";"16-24";204
"651";"1828";"25-34";181
"652";"1828";"35-44";215
"653";"1828";"45-54";263
"654";"1828";"55-64";259
"655";"1828";"65-74";209
"656";"1828";"75 og eldre";189
"657";"1832";"0-15";728
"658";"1832";"16-24";426
"659";"1832";"25-34";540
"660";"1832";"35-44";487
"661";"1832";"45-54";560
"662";"1832";"55-64";637
"663";"1832";"65-74";512
"664";"1832";"75 og eldre";595
"665";"1833";"0-15";4306
"666";"1833";"16-24";2671
"667";"1833";"25-34";3455
"668";"1833";"35-44";3087
"669";"1833";"45-54";3250
"670";"1833";"55-64";3616
"671";"1833";"65-74";2895
"672";"1833";"75 og eldre";2714
"673";"1834";"0-15";299
"674";"1834";"16-24";165
"675";"1834";"25-34";208
"676";"1834";"35-44";222
"677";"1834";"45-54";228
"678";"1834";"55-64";265
"679";"1834";"65-74";236
"680";"1834";"75 og eldre";263
"681";"1835";"0-15";53
"682";"1835";"16-24";52
"683";"1835";"25-34";67
"684";"1835";"35-44";60
"685";"1835";"45-54";66
"686";"1835";"55-64";61
"687";"1835";"65-74";46
"688";"1835";"75 og eldre";37
"689";"1836";"0-15";185
"690";"1836";"16-24";136
"691";"1836";"25-34";106
"692";"1836";"35-44";107
"693";"1836";"45-54";159
"694";"1836";"55-64";145
"695";"1836";"65-74";159
"696";"1836";"75 og eldre";142
"697";"1837";"0-15";1079
"698";"1837";"16-24";609
"699";"1837";"25-34";687
"700";"1837";"35-44";700
"701";"1837";"45-54";763
"702";"1837";"55-64";866
"703";"1837";"65-74";751
"704";"1837";"75 og eldre";725
"705";"1838";"0-15";264
"706";"1838";"16-24";179
"707";"1838";"25-34";187
"708";"1838";"35-44";213
"709";"1838";"45-54";256
"710";"1838";"55-64";288
"711";"1838";"65-74";312
"712";"1838";"75 og eldre";259
"713";"1839";"0-15";151
"714";"1839";"16-24";73
"715";"1839";"25-34";100
"716";"1839";"35-44";123
"717";"1839";"45-54";106
"718";"1839";"55-64";172
"719";"1839";"65-74";159
"720";"1839";"75 og eldre";178
"721";"1840";"0-15";844
"722";"1840";"16-24";462
"723";"1840";"25-34";526
"724";"1840";"35-44";549
"725";"1840";"45-54";610
"726";"1840";"55-64";672
"727";"1840";"65-74";642
"728";"1840";"75 og eldre";575
"729";"1841";"0-15";1525
"730";"1841";"16-24";1003
"731";"1841";"25-34";1205
"732";"1841";"35-44";1118
"733";"1841";"45-54";1258
"734";"1841";"55-64";1354
"735";"1841";"65-74";1238
"736";"1841";"75 og eldre";1126
"737";"1845";"0-15";260
"738";"1845";"16-24";190
"739";"1845";"25-34";193
"740";"1845";"35-44";174
"741";"1845";"45-54";249
"742";"1845";"55-64";263
"743";"1845";"65-74";250
"744";"1845";"75 og eldre";279
"745";"1848";"0-15";398
"746";"1848";"16-24";245
"747";"1848";"25-34";332
"748";"1848";"35-44";295
"749";"1848";"45-54";334
"750";"1848";"55-64";370
"751";"1848";"65-74";365
"752";"1848";"75 og eldre";333
"753";"1851";"0-15";271
"754";"1851";"16-24";185
"755";"1851";"25-34";165
"756";"1851";"35-44";172
"757";"1851";"45-54";276
"758";"1851";"55-64";328
"759";"1851";"65-74";333
"760";"1851";"75 og eldre";330
"761";"1853";"0-15";162
"762";"1853";"16-24";142
"763";"1853";"25-34";126
"764";"1853";"35-44";131
"765";"1853";"45-54";176
"766";"1853";"55-64";187
"767";"1853";"65-74";206
"768";"1853";"75 og eldre";200
"769";"1856";"0-15";58
"770";"1856";"16-24";41
"771";"1856";"25-34";42
"772";"1856";"35-44";47
"773";"1856";"45-54";68
"774";"1856";"55-64";82
"775";"1856";"65-74";72
"776";"1856";"75 og eldre";50
"777";"1857";"0-15";110
"778";"1857";"16-24";53
"779";"1857";"25-34";78
"780";"1857";"35-44";82
"781";"1857";"45-54";95
"782";"1857";"55-64";103
"783";"1857";"65-74";82
"784";"1857";"75 og eldre";80
"785";"1859";"0-15";159
